City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,zhigalovo,54.8097,105.1578,24.24,51,100,3.02,RU,1690432450
291,ghorawal,24.7667,82.7833,34.8,45,64,6.25,IN,1690432451
292,luderitz,-26.6481,15.1594,12.28,64,0,3.0,NA,1690432451
293,tolanaro,-25.0319,46.9987,18.04,77,75,3.09,MG,1690432452
294,arnprior,45.4334,-76.3494,22.49,95,100,1.52,CA,1690432434
295,invercargill,-46.4,168.35,7.37,75,99,6.21,NZ,1690432268
296,kruisfontein,-34.0033,24.7314,9.57,87,43,3.02,ZA,1690432453
297,korla,41.7597,86.1469,36.63,17,0,4.42,CN,1690432453
298,isangel,-19.55,169.2667,22.01,58,47,7.71,VU,1690432453
299,vilyuysk,63.7553,121.6247,24.12,28,76,3.04,RU,1690432454
300,greenville,35.6127,-77.3663,26.97,92,0,3.09,US,1690432205
301,kingaroy,-26.5333,151.8333,19.3,41,8,3.6,AU,1690432454
302,korschenbroich,51.1914,6.5135,15.6,92,100,2.06,DE,1690432454
303,puerto armuelles,8.2833,-82.8667,27.83,70,100,1.34,PA,1690432455
304,arish,31.1316,33.7984,28.7,63,0,0.41,EG,1690432455
305,valle de la pascua,9.2155,-66.0073,22.71,96,100,1.43,VE,1690432455
306,ust'-barguzin,53.45,108.9833,12.25,99,100,0.37,RU,1690432455
307,kuala terengganu,5.3302,103.1408,32.21,74,20,2.06,MY,1690432186
308,pandan,14.0453,124.1694,30.74,67,100,7.17,PH,1690432456
309,ocean shores,46.9737,-124.1563,16.64,90,95,3.13,US,1690432456
310,olyokminsk,60.3736,120.4264,30.39,38,23,4.43,RU,1690432456
311,flying fish cove,-10.4217,105.6791,25.82,78,75,6.69,CX,1690432456
312,gebre guracha,9.8,38.4,12.0,92,96,0.46,ET,1690432457
313,tshabong,-26.05,22.45,8.72,43,0,2.12,BW,1690432457
314,tougan,13.0667,-3.0667,27.57,65,97,4.12,BF,1690432457
315,taft,31.7471,54.2088,28.97,12,75,1.03,IR,1690432457
316,san martin,-33.081,-68.4681,8.3,53,91,2.14,AR,1690432458
317,ketchikan,55.3422,-131.6461,17.26,77,100,1.54,US,1690432458
318,mudgee,-32.5943,149.5871,18.77,40,0,2.89,AU,1690432458
319,balcarce,-37.8462,-58.2552,6.01,97,54,1.79,AR,1690432458
320,challapata,-18.9,-66.7667,4.26,26,0,1.91,BO,1690432459
321,munuf,30.4658,30.9316,26.38,52,0,1.41,EG,1690432168
322,coquimbo,-29.9533,-71.3436,13.56,88,100,1.45,CL,1690432397
323,nemuro,43.3236,145.575,20.45,87,97,3.51,JP,1690432459
324,taber,49.8167,-112.1518,18.91,55,8,7.72,CA,1690432460
325,lulea,65.5842,22.1547,16.04,88,0,1.54,SE,1690432460
326,manismata,-2.4667,111.0333,32.1,46,47,3.06,ID,1690432460
327,xindian,36.7975,118.2944,34.04,42,35,1.91,CN,1690432461
328,vanino,49.0869,140.2543,22.19,74,59,0.93,RU,1690432436
329,cabedelo,-6.9811,-34.8339,23.37,87,61,4.33,BR,1690432461
